proper,x,y,z,dist,ra,dec
Rastaban,-9.169333,-70.678899,92.218765,116.5501,17.507213,52.301387
Shaula,-16.048583,-138.749793,-105.649898,175.1313,17.560145,-37.103821
Rasalhague,-1.587067,-14.453242,3.239454,14.8965,17.582241,12.560035
Sargas,-6.654055,-67.016643,-62.796539,92.0810,17.621980,-42.997824
Cebalrai,-1.802333,-24.949291,1.998237,25.0941,17.724543,4.567303
Etamin,-0.436154,-29.451035,37.014357,47.3037,17.943437,51.488895
Barnard's Star,-0.017373,-1.816613,0.149123,1.8238,17.963472,4.693388
Nash,0.648969,-25.602281,-15.040072,29.7000,18.096803,-30.424091
Kaus Meridionalis,8.460232,-92.098382,-53.027575,106.6098,18.349900,-29.828103
Kaus Australis,3.817188,-36.057831,-24.812975,43.9367,18.402868,-34.384616
Kaus Borealis,2.635486,-21.487046,-10.289309,23.9693,18.466179,-25.421700
Vega,0.960565,-5.908009,4.809731,7.6787,18.615640,38.783692
Sheliak,53.408840,-240.514817,162.223134,294.9853,18.834665,33.362667
Nunki,14.950858,-60.794062,-30.937099,69.8324,18.921090,-26.296722
Albaldah,43.714239,-139.143552,-56.055078,156.2500,19.162731,-21.023615
Albireo,45.350466,-108.518380,62.430012,133.1558,19.512023,27.959681
Campbell's Hydrogen Star,34611.284098,-78889.844899,50778.453408,100000.0000,19.579231,30.516371
Tarazed,53.215608,-106.431852,22.297682,121.0654,19.770994,10.613261
Altair,2.355468,-4.487300,0.790749,5.1295,19.846388,8.868322
Alshain,6.563854,-11.925647,1.528534,13.6986,19.921887,6.406763
Cygnus X-1,240.174990,-422.950898,343.128080,595.2381,19.972688,35.201604
Sadr,249.318228,-348.795593,363.040966,561.7978,20.370473,40.256679
Peacock,17.850262,-24.200974,-45.841245,54.8246,20.427459,-56.735090
Deneb,197.250632,-232.113407,307.600832,432.9004,20.690532,45.280338
Gienah,12.262597,-13.834612,12.455654,22.2916,20.770178,33.970256
Lacaille 8760,2.330004,-2.003156,-2.476477,3.9462,21.287725,-38.867362
Alderamin,5.276111,-4.483201,13.348778,15.0376,21.309630,62.585573
Sadalsuud,130.759282,-98.929336,-15.993766,164.7446,21.525982,-5.571172
Enif,172.769915,-116.330918,36.257820,211.4165,21.736433,9.875011
Sadalmelik,140.987693,-76.722268,-0.896054,160.5136,22.096399,-0.319851
Alnair,18.672505,-9.904001,-22.635193,30.9693,22.137209,-46.960975
Kruger 60,1.968033,-0.835470,3.381486,4.0010,22.466642,57.695875
Matar,53.599160,-18.717064,33.070991,65.7030,22.716704,30.221245
Babcock's star,53443.383418,-18369.410721,82500.724352,100000.0000,22.735418,55.589226
Fomalhaut,6.450517,-1.799476,-3.807757,7.7036,22.960838,-29.622236
Scheat,51.433435,-12.877612,28.290136,60.0962,23.062901,28.082789
Markab,38.311434,-9.417123,10.722722,40.8831,23.079348,15.205264
Lacaille 9352,2.581532,-0.621353,-1.918773,3.2759,23.097531,-35.853073
p Eridani,4.110128,1.912046,-6.770100,8.1466,1.663003,-56.194620
